"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"Database by themes"	"data"	"folder"	" "	" "	" "	" "	
"    Science, technology, digital society"	"science"	"folder"	" "	" "	" "	" "	
"        Science and technology"	"scitech"	"folder"	" "	" "	" "	" "	
"            Research and development"	"research"	"folder"	" "	" "	" "	" "	
"                Statistics on research and development"	"rd"	"folder"	" "	" "	" "	" "	
"                    R&D expenditure at national and regional level"	"rd_e"	"folder"	" "	" "	" "	" "	
"                        Total intramural R&D expenditure (GERD) by sectors of performance"	"rd_e_gerdtot"	"dataset"	"30.11.2016"	"15.11.2016"	"1981"	"2015"	
"                        Total intramural R&D expenditure (GERD) by sectors of performance and source of funds"	"rd_e_gerdfund"	"dataset"	"30.11.2016"	"15.11.2016"	"1981"	"2015"	
"                        Key indicators - GERD by source of funds (%)"	"rd_e_fundgerd"	"dataset"	"30.11.2016"	"15.11.2016"	"1981"	"2015"	
"                        Total intramural R&D expenditure (GERD) by sectors of performance and fields of science"	"rd_e_gerdsc"	"dataset"	"30.11.2016"	"15.11.2016"	"1981"	"2015"	
"                        Total intramural R&D expenditure (GERD) by sectors of performance and type of costs"	"rd_e_gerdcost"	"dataset"	"30.11.2016"	"15.11.2016"	"1981"	"2015"	
"                        Total R&D expenditure (GERD) by sectors of performance and type of R&D activity"	"rd_e_gerdact"	"dataset"	"30.11.2016"	"15.11.2016"	"1981"	"2015"	
"                        Total intramural R&D expenditure (GERD) by sectors of performance and socio-economic objectives according to NABS 2007"	"rd_e_gerdsobj07"	"dataset"	"30.11.2016"	"15.11.2016"	"2003"	"2015"	
"                        Total intramural R&D expenditure (GERD) by sectors of performance and socio-economic objectives according to NABS 1992"	"rd_e_gerdsobj92"	"dataset"	"11.05.2011"	"20.02.2014"	"1981"	"2006"	
"                        Business enterprise R&D expenditure (BERD) by economic activity (NACE Rev. 2) "	"rd_e_berdindr2"	"dataset"	"30.11.2016"	"15.11.2016"	"2005"	"2015"	
"                        Business enterprise R&D expenditure (BERD) by economic activity and source of funds (NACE Rev. 2) "	"rd_e_berdfundr2"	"dataset"	"30.11.2016"	"15.11.2016"	"2005"	"2015"	
"                        Business enterprise R&D expenditure (BERD) by economic activity and type of costs (NACE Rev. 2) "	"rd_e_berdcostr2"	"dataset"	"30.11.2016"	"15.11.2016"	"2005"	"2015"	
"                        Business enterprise R&D expenditure (BERD) by economic activity (NACE Rev. 1.1) "	"rd_e_berdind"	"dataset"	"30.11.2011"	"20.02.2014"	"1981"	"2010"	
"                        Business enterprise R&D expenditure (BERD) by economic activity and source of funds (NACE Rev. 1.1) "	"rd_e_berdfund"	"dataset"	"30.11.2011"	"20.02.2014"	"1981"	"2010"	
"                        Business enterprise R&D expenditure (BERD) by economic activity and type of costs (NACE Rev. 1.1) "	"rd_e_berdcost"	"dataset"	"30.11.2011"	"20.02.2014"	"1981"	"2010"	
"                        Business enterprise R&D expenditure (BERD) by size class and source of funds"	"rd_e_berdsize"	"dataset"	"30.11.2016"	"15.11.2016"	"1981"	"2015"	
"                        Total intramural R&D expenditure (GERD) by sectors of performance and NUTS 2 regions"	"rd_e_gerdreg"	"dataset"	"03.02.2017"	"03.02.2017"	"1981"	"2014"	
"                    R&D personnel at national and regional level"	"rd_p"	"folder"	" "	" "	" "	" "	
"                        Total R&D personnel by sectors of performance, occupation and sex"	"rd_p_persocc"	"dataset"	"30.11.2016"	"06.03.2017"	"1980"	"2015"	
"                        Total R&D personnel and researchers by sectors of performance, as % of total labour force and total employment, and by sex"	"rd_p_perslf"	"dataset"	"30.11.2016"	"06.03.2017"	"1981"	"2015"	
"                        Share of female researchers by sectors of performance"	"rd_p_femres"	"dataset"	"30.11.2016"	"15.11.2016"	"1987"	"2015"	
"                        Total R&D personnel and researchers by sectors of performance, educational attainment level and sex"	"rd_p_persqual"	"dataset"	"30.11.2016"	"06.03.2017"	"1980"	"2015"	
"                        Total R&D personnel and researchers by sectors of performance, sex and fields of science"	"rd_p_perssci"	"dataset"	"12.12.2016"	"06.03.2017"	"1980"	"2015"	
"                        Researchers (HC) in government and higher education sector by age and sex"	"rd_p_persage"	"dataset"	"12.12.2016"	"15.11.2016"	"1980"	"2015"	
"                        Researchers (HC) in government and higher education sector by citizenship and sex "	"rd_p_perscitz"	"dataset"	"12.12.2016"	"15.11.2016"	"1980"	"2015"	
